study,entered.by,host.species,host.type,host.therm,parasite.species,parasite.type,parasite.group,parasite.measure,hp_sampled,iduration_bin,iduration_bin_clean,iduration_confidence,sample.size,experimental.design,study.duration,sampling.method,subset.studied,sex,age,condition.measure,cm.speed,condition.quantification,size.measure,external.measure,ott_id,phypc1,phypc2,close,nonclose,vector,intermediate,tmode,effect.direction,yi,yir,rlower,rupper,vi
Stockwell et al. 2016 Wildlfe Research,AM,Litoria_peronii,amphibian,ectotherm,Batrachochytrium dendrobatidis,fungus,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,48,observational,cross-sectional,LC,no,NA,NA,body length,NA,raw quantitative,body size,external,7455,NA,NA,NA,NA,NA,NA,NA,1,0.249077696,0.244051487,-0.043069823,0.493935006,0.022222222
Galvan et al. 2012 Journal of Avian Biology,CAS,Locustella_luscinioides,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,19,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,419848,NA,NA,NA,NA,NA,NA,NA,-1,-0.067100525,-0.067,-0.505816274,0.399362701,0.0625
Galvan et al. 2012 Journal of Avian Biology,CAS,Loxia_curvirostra,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,32,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,298778,NA,NA,NA,NA,NA,NA,NA,1,0.405916575,0.385,0.041935792,0.646855451,0.034482759
Galvan et al. 2012 Journal of Avian Biology,CAS,Luscinia_luscinia,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,57,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,113980,NA,NA,NA,NA,NA,NA,NA,1,0.330533423,0.319,0.063729619,0.535090366,0.018518519
Galvan et al. 2012 Journal of Avian Biology,CAS,Luscinia_megarhynchos,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,143,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,961118,NA,NA,NA,NA,NA,NA,NA,1,0.088228219,0.088,-0.077264666,0.248558132,0.007142857
Galvan et al. 2012 Journal of Avian Biology,CAS,Luscinia_svecica,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,19,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,274225,NA,NA,NA,NA,NA,NA,NA,1,0.304034086,0.295,-0.183842688,0.660683196,0.0625
Simpson et al. 2009 Veterinary Record,CST,Lutra_lutra,mammal,endotherm,Pseudamphistomum truncatum,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,197,observational,cross-sectional,FD,no,NA,NA,weight/length,NA,adjusted quantitative,body size,external,348036,0.62709075,0.142512676,0,0,0,1,intermediate,-1,-0.13534869,-0.134528205,-0.269260089,0.005368472,0.005154639
Robert & Schwanz 2013 Journal of Wildlife Management,DJB,Macropus_eugenii,mammal,endotherm,Gastro-intestinal nematodes and protozoan oocytes,NA,NA,intensity,hp not randomly sampled,NA,NA,NA,57,observational,cross-sectional,LC,yes,NA,A,mass~length residuals,NA,adjusted quantitative,body size,external,539171,0.352999092,0.718875462,NA,NA,NA,NA,NA,-1,-0.330842045,-0.319277189,-0.535310586,-0.064036981,0.018518519
Robert & Schwanz 2013 Journal of Wildlife Management,DJB,Macropus_eugenii,mammal,endotherm,Ixodes spp,ectoparasite,ectoparasite,binary infection,hp not randomly sampled,NA,NA,NA,60,observational,cross-sectional,LC,yes,NA,A,mass~length residuals,NA,adjusted quantitative,body size,external,539171,0.352999092,0.718875462,NA,NA,NA,NA,NA,-1,-0.290448903,-0.282547931,-0.500559539,-0.030835553,0.01754386
Roberts et al. 2010 Journal of Wildlife Diseases,AM,Macropus_giganteus,mammal,endotherm,Leptospira,bacterium,microparasite,binary infection,hp randomly sampled,4,NA,2,87,observational,cross-sectional,LC,no,NA,NA,subjective tail-fat score,medium,qualitative,not body size,external,597239,0.879962328,0.182619113,NA,NA,NA,NA,NA,1,0.282730895,0.275430697,0.068772559,0.459423651,0.011904762
Puttker et al. 2008 Ecological Research,CAS,Marmosops_incanus,mammal,endotherm,Multiple nematode spp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,30,observational,cross-sectional,LC,yes,NA,A,residuals from a regression of body mass on tibia length,NA,adjusted quantitative,body size,external,505495,NA,NA,NA,NA,NA,NA,NA,-1,-0.113484684,-0.113,-0.454755917,0.257762857,0.037037037
Puttker et al. 2008 Ecological Research,CAS,Marmosops_incanus,mammal,endotherm,Multiple nematode spp.,helminth,helminth,richness,hp not randomly sampled,NA,NA,NA,30,observational,cross-sectional,LC,yes,NA,A,residuals from a regression of body mass on tibia length,NA,adjusted quantitative,body size,external,505495,NA,NA,NA,NA,NA,NA,NA,1,0.084198409,0.084,-0.284890762,0.431219396,0.037037037
Galvan et al. 2012 Journal of Avian Biology,CAS,Melanocorypha_calandra,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,19,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,110605,NA,NA,NA,NA,NA,NA,NA,-1,-0.226810893,-0.223,-0.61492441,0.257267577,0.0625
Werner et al. 2013 Physiology and Behavior,CST,Meleagris_gallopavo,bird,endotherm,Capillaria spp.,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,16,experimental,NA,CZ,yes,F,A,mass/length ratio,NA,adjusted quantitative,body size,external,446482,NA,NA,NA,NA,NA,NA,NA,-1,-0.22260549,-0.219,-0.644715372,0.310402455,0.076923077
Werner et al. 2013 Physiology and Behavior,CST,Meleagris_gallopavo,bird,endotherm,Eimeria spp.,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,16,experimental,NA,CZ,yes,F,A,mass/length ratio,NA,adjusted quantitative,body size,external,446482,NA,NA,NA,NA,NA,NA,NA,-1,-0.21631183,-0.213,-0.641022788,0.316078559,0.076923077
Werner et al. 2013 Physiology and Behavior,CST,Meleagris_gallopavo,bird,endotherm,multiple,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,16,experimental,NA,CZ,yes,F,A,mass/length ratio,NA,adjusted quantitative,body size,external,446482,NA,NA,NA,NA,NA,NA,NA,-1,-0.254346429,-0.249,-0.662885017,0.281444159,0.076923077
Ferrer-Maza et al. 2014 ICES Journal of Marine Science,AM,Merluccius_merluccius,fish,ectotherm,Anisaki pegreffii,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,48,observational,cross-sectional,LC,yes,F,A,lipid gonadosomatic index,NA,adjusted quantitative,body size,invasive,62642,NA,NA,NA,NA,NA,NA,NA,-1,-0.324976786,-0.314,-0.549141252,-0.032790845,0.022222222
Ferrer-Maza et al. 2014 ICES Journal of Marine Science,AM,Merluccius_merluccius,fish,ectotherm,Anisaki pegreffii,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,21,observational,cross-sectional,LC,yes,F,J,lipid hepatosomatic index,NA,adjusted quantitative,body size,invasive,62642,NA,NA,NA,NA,NA,NA,NA,-1,-0.561379165,-0.509,-0.771226322,-0.099085033,0.055555556
Ferrer-Maza et al. 2014 ICES Journal of Marine Science,AM,Merluccius_merluccius,fish,ectotherm,Anthocotyle merluccii,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,32,observational,cross-sectional,LC,yes,F,A,lipid hepatosomatic index,NA,adjusted quantitative,body size,invasive,62642,NA,NA,NA,NA,NA,NA,NA,1,0.484700279,0.45,0.120160724,0.690366918,0.034482759
Ferrer-Maza et al. 2014 ICES Journal of Marine Science,AM,Merluccius_merluccius,fish,ectotherm,Anthocotyle merluccii,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,21,observational,cross-sectional,LC,yes,F,J,lipid hepatosomatic index,NA,adjusted quantitative,body size,invasive,62642,NA,NA,NA,NA,NA,NA,NA,1,0.473471561,0.441,0.011503113,0.733119906,0.055555556
Ferrer-Maza et al. 2014 ICES Journal of Marine Science,AM,Merluccius_merluccius,fish,ectotherm,Clavella stellata,helminth,helminth,intensity,hp randomly sampled,2,acute,3,32,observational,cross-sectional,LC,yes,F,A,lipid gonadosomatic index,medium,adjusted quantitative,body size,invasive,62642,NA,NA,NA,NA,NA,NA,NA,-1,-0.40005965,-0.38,-0.643436277,-0.036087797,0.034482759
Ferrer-Maza et al. 2014 ICES Journal of Marine Science,AM,Merluccius_merluccius,fish,ectotherm,Parabrachiella insidiosa,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,32,observational,cross-sectional,LC,yes,F,A,lipid hepatosomatic index,NA,adjusted quantitative,body size,invasive,62642,NA,NA,NA,NA,NA,NA,NA,-1,-0.3884231,-0.37,-0.636566249,-0.024462044,0.034482759
Hoi et al. 2010 Journal of Ornithology,DJB,Merops_apiaster,bird,endotherm,Carnus hemapterus,ectoparasite,ectoparasite,binary infection,hp not randomly sampled,NA,NA,NA,86,observational,cross-sectional,LC,no,NA,NA,mass~length residuals,NA,adjusted quantitative,body size,external,755107,NA,NA,NA,NA,NA,NA,NA,1,0.575164494,0.519142006,0.345240897,0.658578097,0.012048193
Hoi et al. 2010 Journal of Ornithology,DJB,Merops_apiaster,bird,endotherm,Carnus hemapterus,ectoparasite,ectoparasite,binary infection,hp not randomly sampled,NA,NA,NA,86,observational,cross-sectional,LC,no,NA,NA,wing length,NA,raw quantitative,body size,external,755107,NA,NA,NA,NA,NA,NA,NA,1,0.575164494,0.519142006,0.345240897,0.658578097,0.012048193
Rafalinirina et al. 2015 MCD,DJB,Microcebus_rufus,mammal,endotherm,Hymenolepis,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,120,observational,longitudinal,LC,NA,NA,NA,body weight,NA,raw quantitative,body size,external,148500,NA,NA,NA,NA,NA,NA,NA,1,0.040021354,0.04,-0.14024686,0.217680644,0.008547009
Rafalinirina et al. 2015 MCD,DJB,Microcebus_rufus,mammal,endotherm,Hymenolepis,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,120,observational,longitudinal,LC,NA,NA,NA,crown rump length,NA,raw quantitative,body size,external,148500,NA,NA,NA,NA,NA,NA,NA,-1,-0.140925576,-0.14,-0.311426469,0.040251399,0.008547009
Rafalinirina et al. 2015 MCD,DJB,Microcebus_rufus,mammal,endotherm,Hymenolepis,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,107,observational,longitudinal,LC,NA,NA,NA,mass~length residual,NA,adjusted quantitative,body size,external,148500,NA,NA,NA,NA,NA,NA,NA,1,0.040021354,0.04,-0.151005195,0.228125945,0.009615385
Rafalinirina et al. 2015 MCD,DJB,Microcebus_rufus,mammal,endotherm,Lemurpediculus verruculosus,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,120,observational,longitudinal,LC,NA,NA,NA,body weight,NA,raw quantitative,body size,external,148500,NA,NA,NA,NA,NA,NA,NA,-1,-0.080171325,-0.08,-0.255576548,0.100685094,0.008547009
Rafalinirina et al. 2015 MCD,DJB,Microcebus_rufus,mammal,endotherm,Lemurpediculus verruculosus,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,120,observational,longitudinal,LC,NA,NA,NA,crown rump length,NA,raw quantitative,body size,external,148500,NA,NA,NA,NA,NA,NA,NA,-1,-0.192337169,-0.19,-0.357080652,-0.011137974,0.008547009
Rafalinirina et al. 2015 MCD,DJB,Microcebus_rufus,mammal,endotherm,Lemurpediculus verruculosus,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,107,observational,longitudinal,LC,NA,NA,NA,mass~length residual,NA,adjusted quantitative,body size,external,148500,NA,NA,NA,NA,NA,NA,NA,1,0.13073985,0.13,-0.061373199,0.312153953,0.009615385
Rafalinirina et al. 2015 MCD,DJB,Microcebus_rufus,mammal,endotherm,NA,NA,NA,richness,hp not randomly sampled,NA,NA,NA,120,observational,longitudinal,LC,NA,NA,NA,body weight,NA,raw quantitative,body size,external,148500,NA,NA,NA,NA,NA,NA,NA,1,0.020002667,0.02,-0.159814245,0.198529645,0.008547009
Rafalinirina et al. 2015 MCD,DJB,Microcebus_rufus,mammal,endotherm,NA,NA,NA,richness,hp not randomly sampled,NA,NA,NA,120,observational,longitudinal,LC,NA,NA,NA,crown rump length,NA,raw quantitative,body size,external,148500,NA,NA,NA,NA,NA,NA,NA,-1,-0.192337169,-0.19,-0.357080652,-0.011137974,0.008547009
Rafalinirina et al. 2015 MCD,DJB,Microcebus_rufus,mammal,endotherm,NA,NA,NA,richness,hp not randomly sampled,NA,NA,NA,107,observational,longitudinal,LC,NA,NA,NA,mass~length residual,NA,adjusted quantitative,body size,external,148500,NA,NA,NA,NA,NA,NA,NA,1,0.080171325,0.08,-0.111552749,0.265820943,0.009615385
Rafalinirina et al. 2015 MCD,DJB,Microcebus_rufus,mammal,endotherm,Strongyloides sp,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,119,observational,longitudinal,LC,NA,NA,NA,body weight,NA,raw quantitative,body size,external,148500,NA,NA,NA,NA,NA,NA,NA,1,0.13073985,0.13,-0.051193445,0.302907683,0.00862069
Rafalinirina et al. 2015 MCD,DJB,Microcebus_rufus,mammal,endotherm,Strongyloides sp,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,119,observational,longitudinal,LC,NA,NA,NA,crown rump length,NA,raw quantitative,body size,external,148500,NA,NA,NA,NA,NA,NA,NA,0,0,0,-0.179995548,0.179995548,0.00862069
Rafalinirina et al. 2015 MCD,DJB,Microcebus_rufus,mammal,endotherm,Strongyloides sp,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,106,observational,longitudinal,LC,NA,NA,NA,mass~length residual,NA,adjusted quantitative,body size,external,148500,NA,NA,NA,NA,NA,NA,NA,-1,-0.020002667,-0.02,-0.209954413,0.171409357,0.009708738
Abollo et al. 2001 Journal of Fish Diseases,AKD,Micromesistius_poutassou,fish,ectotherm,Goussia clupearum and G. cruciata,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,100,observational,cross-sectional,LC,no,NA,NA,mass/length ratio,NA,adjusted quantitative,body size,external,780760,NA,NA,NA,NA,NA,NA,NA,-1,-0.378644829,-0.361530001,-0.52095459,-0.17773288,0.010309278
Southard et al. 2009 J. Aquatic Animal Health,AKD,Micropterus_salmoides,fish,ectotherm,largemouth bass virus,virus,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,2876,observational,cross-sectional,LC,no,NA,NA,ratio of weight to length,NA,adjusted quantitative,body size,external,230493,NA,NA,NA,NA,NA,NA,NA,1,0.011046365,0.011045916,-0.025514334,0.047576657,0.000348068
Inendino et al. 2005 Journal of Aquatic Animal Health,CAS,Micropterus_salmoides,fish,ectotherm,Largemouth bass virus,virus,microparasite,binary infection,hp randomly sampled,4,NA,2,48,experimental,NA,LC,yes,NA,J,weight * length^-3 * 10000^-1,rapid,adjusted quantitative,body size,external,230493,NA,NA,NA,NA,NA,NA,NA,-1,-0.537038822,-0.490743194,-0.680053199,-0.240085313,0.022222222
Jackson et al. 2014 PLoS Biology,DJB,Microtus_agrestis,mammal,endotherm,lice,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,576,observational,cross-sectional,LC,no,NA,NA,body mass adjusted for size,NA,adjusted quantitative,body size,external,754333,-1.96454455,0.137634145,NA,NA,NA,NA,NA,1,0.11473456,0.114233741,0.032844072,0.194118324,0.001745201
Jackson et al. 2014 PLoS Biology,DJB,Microtus_agrestis,mammal,endotherm,Listrophoridae,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,576,observational,cross-sectional,LC,no,NA,NA,body mass adjusted for size,NA,adjusted quantitative,body size,external,754333,-1.96454455,0.137634145,NA,NA,NA,NA,NA,-1,-0.104553018,-0.104173708,-0.184301379,-0.022670463,0.001745201
Jackson et al. 2014 PLoS Biology,DJB,Microtus_agrestis,mammal,endotherm,total adult cestodes,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,576,observational,cross-sectional,LC,no,NA,NA,body mass adjusted for size,NA,adjusted quantitative,body size,external,754333,-1.96454455,0.137634145,NA,NA,NA,NA,NA,1,0.087014088,0.086795143,0.005135372,0.167304996,0.001745201
Jackson et al. 2014 PLoS Biology,DJB,Microtus_agrestis,mammal,endotherm,total fleas,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,576,observational,cross-sectional,LC,no,NA,NA,body mass adjusted for size,NA,adjusted quantitative,body size,external,754333,-1.96454455,0.137634145,NA,NA,NA,NA,NA,1,0.100369514,0.100033825,0.018488737,0.180256882,0.001745201
Jackson et al. 2014 PLoS Biology,DJB,Microtus_agrestis,mammal,endotherm,total larval cestodes,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,576,observational,cross-sectional,LC,no,NA,NA,body mass adjusted for size,NA,adjusted quantitative,body size,external,754333,-1.96454455,0.137634145,NA,NA,NA,NA,NA,1,0.089197494,0.088961687,0.007318693,0.169426509,0.001745201
Jackson et al. 2014 PLoS Biology,DJB,Microtus_agrestis,mammal,endotherm,total ticks,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,576,observational,cross-sectional,LC,no,NA,NA,body mass adjusted for size,NA,adjusted quantitative,body size,external,754333,-1.96454455,0.137634145,NA,NA,NA,NA,NA,1,0.227623999,0.223772531,0.144722063,0.299984589,0.001745201
Jackson et al. 2014 PLoS Biology,DJB,Microtus_agrestis,mammal,endotherm,tuberculosis with lesion,bacterium,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,576,observational,cross-sectional,LC,no,NA,NA,body mass adjusted for size,NA,adjusted quantitative,body size,external,754333,-1.96454455,0.137634145,NA,NA,NA,NA,NA,1,0.104001612,0.103628255,0.022119334,0.183768649,0.001745201
Fokidis et al. 2008 J. Avian. Biol.,AKD,Mimus_polyglottos,bird,endotherm,Haemoproteus,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,33,observational,cross-sectional,LC,no,NA,NA,residuals of body mass on tarsus length,NA,adjusted quantitative,body size,external,571310,NA,NA,NA,NA,NA,NA,NA,-1,-0.090244188,-0.09,-0.420321969,0.261385228,0.033333333
Loureno & Palmeirim 2007 Journal of Zoology,DJB,Miniopterus_schreibersii_schreibersii,mammal,endotherm,Spinturnix psi,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,12,observational,cross-sectional,LC,yes,F,NA,mass/size ratio,NA,adjusted quantitative,body size,external,366155,0.011060366,2.238616099,NA,NA,NA,NA,NA,-1,-0.618381314,-0.55,-0.854258449,0.034925803,0.111111111
Loureno & Palmeirim 2007 Journal of Zoology,DJB,Miniopterus_schreibersii_schreibersii,mammal,endotherm,Spinturnix psi,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,12,observational,cross-sectional,LC,yes,M,NA,mass/size ratio,NA,adjusted quantitative,body size,external,366155,0.011060366,2.238616099,NA,NA,NA,NA,NA,-1,-0.887183863,-0.71,-0.912205221,-0.22969034,0.111111111
Loureno & Palmeirim 2007 Journal of Zoology,DJB,Miniopterus_schreibersii_schreibersii,mammal,endotherm,Spinturnix psi,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,12,observational,cross-sectional,LC,yes,NA,J,mass/size ratio,NA,adjusted quantitative,body size,external,366155,0.011060366,2.238616099,NA,NA,NA,NA,NA,-1,-0.435611223,-0.41,-0.79648821,0.214334438,0.111111111
Galvan et al. 2012 Journal of Avian Biology,CAS,Montifringilla_nivalis,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,13,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,567983,NA,NA,NA,NA,NA,NA,NA,1,1.121240584,0.808,0.463253249,0.940346628,0.1
Galvan et al. 2012 Journal of Avian Biology,CAS,Motacilla_alba,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,76,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,695336,NA,NA,NA,NA,NA,NA,NA,1,0.261823156,0.256,0.032415362,0.455183869,0.01369863
Shurulinkov et al. 2012 Parasitology Research,DJB,Motacilla_flava,bird,endotherm,Various hematozoa,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,473,observational,cross-sectional,LC,no,NA,NA,body mass,NA,raw quantitative,body size,external,645461,NA,NA,NA,NA,NA,NA,NA,-1,-0.079808796,-0.079639781,-0.16859013,0.010597204,0.00212766
Shurulinkov et al. 2012 Parasitology Research,DJB,Motacilla_flava,bird,endotherm,Various hematozoa,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,473,observational,cross-sectional,LC,no,NA,NA,fat score,NA,qualitative,not body size,external,645461,NA,NA,NA,NA,NA,NA,NA,-1,-0.149382537,-0.148281202,-0.235296379,-0.058907858,0.00212766
Shurulinkov et al. 2012 Parasitology Research,DJB,Motacilla_flava,bird,endotherm,Various hematozoa,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,473,observational,cross-sectional,LC,no,NA,NA,mass~length residuals,NA,adjusted quantitative,body size,external,645461,NA,NA,NA,NA,NA,NA,NA,-1,-0.109241139,-0.108808655,-0.197036563,-0.018832515,0.00212766
Galvan et al. 2012 Journal of Avian Biology,CAS,Muscicapa_striata,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,31,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,116518,NA,NA,NA,NA,NA,NA,NA,1,0.092260889,0.092,-0.271180409,0.432249105,0.035714286
Dubay et al. 2014 J. Parasitol.,LMB,Mustela_erminea,mammal,endotherm,Filaroides martis,helminth,helminth,binary infection,hp randomly sampled,2,acute,2,73,observational,cross-sectional,LC,yes,F,NA,body condition index (actual mass/predicted mass given actual length x 100),rapid,adjusted quantitative,body size,external,681184,NA,NA,0,0,0,1,intermediate,1,0.305539459,0.296373757,0.071158485,0.49283653,0.014285714
Hakkarainen et al. 2007 Parasitology,CAS,Myodes_glareolus,mammal,endotherm,Eimeria spp.,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,766,observational,cross-sectional,LC,no,NA,NA,residual body mass,NA,adjusted quantitative,body size,external,1051603,-1.827089573,0.256605826,NA,NA,NA,NA,NA,-1,-0.133753104,-0.132961161,-0.201896218,-0.062715225,0.001310616
Orlova et al. 2012 Russian Journal of Ecology,DJB,Myotis_dasycneme,mammal,endotherm,Macronyssus corethroproctus,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,84,observational,cross-sectional,LC,no,NA,NA,mass/size ratio,NA,adjusted quantitative,body size,external,353897,NA,NA,NA,NA,NA,NA,NA,1,0.484700279,0.45,0.26076263,0.60593581,0.012345679
Witsenburg et al. 2014 Parasites & Vectors,CAS,Myotis_daubentonii,mammal,endotherm,Polychromophilus murinus,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,193,observational,cross-sectional,LC,yes,NA,NA,residuals from an OLS regression of body mass on forearm length,NA,adjusted quantitative,body size,external,407052,-0.00299789,2.069614212,NA,NA,NA,NA,NA,-1,-0.486856306,-0.451717763,-0.557395679,-0.331636242,0.005263158
Zahn & Rupp 2004 Journal of the Zoological Society of London,CST,Myotis_daubentonii,mammal,endotherm,Spinturnicidae,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,13,observational,cross-sectional,LC,yes,NA,J,mass/forearm length ratio,NA,adjusted quantitative,body size,external,407052,-0.00299789,2.069614212,NA,NA,NA,NA,NA,-1,-0.867300528,-0.7,-0.902788908,-0.242572362,0.1
Lucan 2006 Folia Parasitologica,CST,Myotis_daubentonii,mammal,endotherm,Spinturnix andegavinus,ectoparasite,ectoparasite,intensity,hp randomly sampled,3,chronic,1,46,observational,cross-sectional,LC,yes,M,J,weight-forearm length ratio,rapid,adjusted quantitative,body size,external,407052,-0.00299789,2.069614212,NA,NA,NA,NA,NA,-1,-0.472230804,-0.44,-0.647581696,-0.171623639,0.023255814
Lucan 2006 Folia Parasitologica,CST,Myotis_daubentonii,mammal,endotherm,Spinturnix andegavinus,ectoparasite,ectoparasite,intensity,hp randomly sampled,3,chronic,1,32,observational,cross-sectional,LC,yes,F,J,weight-forearm length ratio,rapid,adjusted quantitative,body size,external,407052,-0.00299789,2.069614212,NA,NA,NA,NA,NA,1,0.435611223,0.41,0.071532663,0.663794852,0.034482759
Lucan 2006 Folia Parasitologica,CST,Myotis_daubentonii,mammal,endotherm,Spinturnix andegavinus,ectoparasite,ectoparasite,intensity,hp randomly sampled,3,chronic,1,45,observational,cross-sectional,LC,yes,F,J,weight-forearm length ratio,rapid,adjusted quantitative,body size,external,407052,-0.00299789,2.069614212,NA,NA,NA,NA,NA,-1,-0.309519604,-0.3,-0.545497323,-0.007090477,0.023809524
Lucan 2006 Folia Parasitologica,CST,Myotis_daubentonii,mammal,endotherm,Spinturnix andegavinus,ectoparasite,ectoparasite,intensity,hp randomly sampled,3,chronic,1,118,observational,cross-sectional,LC,yes,F,A,weight-forearm length ratio,rapid,adjusted quantitative,body size,external,407052,-0.00299789,2.069614212,NA,NA,NA,NA,NA,1,0.223656109,0.22,0.040865754,0.385431866,0.008695652
Lucan 2006 Folia Parasitologica,CST,Myotis_daubentonii,mammal,endotherm,Spinturnix andegavinus,ectoparasite,ectoparasite,intensity,hp randomly sampled,3,chronic,1,49,observational,cross-sectional,LC,yes,F,J,weight-forearm length ratio,rapid,adjusted quantitative,body size,external,407052,-0.00299789,2.069614212,NA,NA,NA,NA,NA,-1,-0.536060337,-0.49,-0.677804406,-0.24217131,0.02173913
Zahn & Rupp 2004 Journal of the Zoological Society of London,CST,Myotis_myotis,mammal,endotherm,Macronyssidae,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,11,observational,cross-sectional,LC,yes,NA,J,mass/forearm length ratio,NA,adjusted quantitative,body size,external,966432,0.002874801,1.71450182,NA,NA,NA,NA,NA,-1,-1.020327758,-0.77,-0.937048697,-0.316160891,0.125
Zahn & Rupp 2004 Journal of the Zoological Society of London,CST,Myotis_myotis,mammal,endotherm,Spinturnicidae,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,6,observational,cross-sectional,LC,yes,M,A,mass/forearm length ratio,NA,adjusted quantitative,body size,external,966432,0.002874801,1.71450182,NA,NA,NA,NA,NA,-1,-1.738049345,-0.94,-0.993586402,-0.541632955,0.333333333
Zahn & Rupp 2004 Journal of the Zoological Society of London,CST,Myotis_myotis,mammal,endotherm,Spinturnicidae,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,10,observational,cross-sectional,LC,yes,F,A,mass/forearm length ratio,NA,adjusted quantitative,body size,external,966432,0.002874801,1.71450182,NA,NA,NA,NA,NA,-1,-0.928727364,-0.73,-0.93148874,-0.185748986,0.142857143
